pdb_id,corr_roughness_water,corr_flatness_water,mean_roughness,mean_water
6X6Z,-0.4646231312836565,0.06580842604219621,48.05941330646249,13.866666666666667
1B94,0.87220269361571,0.7457401576460794,141.22822851621038,11.181818181818183
4IX7,-0.5324953903692863,0.44255253427520974,47.37656508379865,7.427083333333332
2BAM,0.5045461169123687,-0.0737076306432789,84.59951936303813,8.371794871794872
2C7O,0.7073919768567591,-0.027752353975296722,141.27649843231188,8.853333333333332
2OG0,-0.6339436185547885,-0.09577096585730392,91.98891512488277,3.3333333333333335
3MFH,-0.4377759900816212,0.3047847860904351,9.446553393446573,18.181818181818183
8VDI,-0.20613033525453384,-0.597675975972328,84.34333190022646,4.0
2F5P,0.5256222033850808,0.06715691295393766,146.41898853147745,4.4375
3NYP,-0.32508677381175277,-0.7230196482829017,477.2751514076314,6.642857142857143
1NK9,0.7626149160300449,0.8616102508863344,134.87184026453014,7.804597701149425
2GIG,-0.05600163637524246,-0.6522177674026256,70.59603664749143,10.026315789473685
5T01,-0.5629816369859533,-0.29737154869228055,68.53929154030747,2.284722222222222
2OPF,-0.18347857516606833,0.11596543830115869,209.3004641125259,7.746666666666666
2HDD,0.23098185474013086,0.48917433455662057,75.74077217333048,2.481481481481481
5UA3,-0.20701480006674575,-0.3729826855129674,290.00053318816043,2.6
2EUX,-0.21110263259520987,-0.697650185232767,61.163644539624975,8.192982456140351
1JPQ,-0.4484755138364411,0.023758794041686532,362.3771148868393,5.256410256410256
2HHQ,0.6833762221070617,0.8831629720910187,69.70000753293537,8.666666666666666
3L2C,0.2803401120447884,0.3449677530978675,99.7619204535291,4.388888888888888
3QEV,-0.10905331784520773,0.14384698668469287,261.8997204764452,14.666666666666664
3DPG,-0.6397895804431103,0.05953857237447691,37.24258351156778,8.830065359477125
7XHD,-0.3732986424507223,-0.32519914464815136,187.85750911142136,3.7142857142857144
8EJ6,-0.09138228204522438,-0.7026807769249159,85.82225646346855,6.536585365853658
2HHU,-0.18846265065193946,0.7715757314692492,137.2094326133685,8.275
3BEP,-0.28701757810249406,-0.432846342324867,91.42248259421916,14.955555555555556
2EVG,-0.4731327498599241,-0.6780210913479084,68.3641772872933,10.63888888888889
8T8T,-0.017995744537837075,-0.360198169659493,109.80603298040577,0.15476190476190474
3CBB,-0.18994341774199272,-0.22376505962437584,70.74426412025475,2.6271186440677967
1NJW,0.2763500198287794,0.7093249974509602,130.56690177709484,7.528735632183908
4OKL,-0.08305830580905428,-0.4715370041203194,169.46846751540696,1.2098765432098764
1DPN,0.16545202132517797,-0.1344354495071657,91.91965247321075,7.071428571428571
8VDH,-0.274176803396561,-0.6850047325071033,83.46019844893912,4.861788617886178
4M45,0.3854740758466874,-0.2613148408301228,71.58668601443065,12.777777777777777
8IK5,0.0016820981250920016,-0.7107659066115867,82.04942913971199,1.6904761904761905
6FL1,-0.4843555127643237,-0.3902876930692181,223.5125454004031,12.06896551724138
8EKU,-0.40809528538382345,-0.5301882310187335,88.38666125057128,6.105691056910569
2PVI,-0.39391070841039116,-0.4612714516969299,66.43179779280598,4.388888888888889
4RTK,-0.8594224170067706,0.8542820422792506,83.18281370137343,1.2121212121212122
3G6P,-0.38867071089348065,-0.39612659953388607,71.48186731510967,2.1699346405228757
8FDR,0.3851160090039061,0.2973970809249784,81.39690280231402,1.977011494252873
2HHS,0.1852336473437305,0.701205499948609,71.11956167403605,6.290322580645159
1DSZ,0.058776277488335874,-0.1905411649473124,51.10123532810991,7.114035087719298
1NJZ,-0.20618809762061216,0.5961886829272749,123.58800718204854,6.166666666666666
8EE9,-0.03857347902538774,-0.6123031426542324,83.28295863704601,5.764227642276423
4Z3C,0.359224051737457,-0.31469757532632725,64.09290296686176,2.6049382716049383
2EVI,-0.701494583163444,-0.5405651519358112,69.38625789111745,7.611111111111111
7XIE,0.030322983653897947,0.00019559529727017247,58.37246264550398,1.1666666666666667
8EQK,-0.2623830865404661,-0.6160248684016171,83.37240117324929,5.845528455284553
403D,0.3846587095551748,0.4850716203109958,71.39690661711671,3.5128205128205128
8EJ8,-0.251834697438281,-0.738351958305499,79.64076618047366,6.383333333333332
423D,0.3431980029972911,0.10906241236796496,66.07019334459142,4.987654320987655
8VMX,0.27780602897011414,0.12811678836669768,213.94784858567354,5.706214689265536
4BWJ,0.9161021676807365,-0.5328186344416632,27.130588396096186,12.5
1A1J,-0.012742661707799573,0.40956644711824625,84.66327697457858,5.000000000000001
9FT8,0.3681244031780096,0.0284394191834182,87.75531677063222,0.4880952380952381
5WV7,-0.14392961693190104,-0.7847685627560389,142.73630794155565,2.2413793103448274
4GJU,0.37992538552428257,-0.26447602343744697,85.64739407201571,3.5714285714285707
5MVL,0.6261550948968929,-0.6368705649558163,347.40243860130204,2.513888888888889
1D2I,-0.04243370468427824,-0.2949135681889783,79.86644116365488,12.89430894308943
4L25,-0.25841872315245407,0.626970115345977,98.06943537361026,5.011494252873563
1UA1,0.391683756884299,0.31400087679620536,186.67983874772156,8.35897435897436
1DC0,0.6977324075863431,0.16481175631288628,152.96412020915216,2.6206896551724133
4E1U,0.06904665913497986,0.11061542808168352,37.92240327854983,4.435185185185186
3AJK,0.30035366599291113,-0.17595858145047022,84.05169029623568,3.4197530864197523
1PUF,0.1322263883660583,-0.20637551354865305,66.5528335659594,4.603773584905659
4WO2,0.14289607083938094,-0.2439969288723744,219.33430299265544,5.362318840579709
1L1Z,-0.25953077986758377,0.41450144375960096,252.32266949575325,7.507246376811593
8XWC,0.14585297775665668,-0.5649557942371888,140.06204863811553,9.788617886178862
2FLD,-0.07131218506280777,-0.18093164286831256,95.2457293036381,1.3888888888888888
5CIY,0.4079076241024424,-0.2462988527366583,37.047290221413526,15.4320987654321
4C5X,0.5796474632882412,0.02268960361542673,79.26012389158481,3.6666666666666665
5F8A,0.8341172465204798,0.6218628658033566,154.7186408454422,9.682539682539682
8EBH,-0.34796479221404003,-0.7224828924521036,86.7922656724423,6.552845528455285
6FBE,0.7834606096562303,-0.9271990648811897,47.4159539876652,11.416666666666666
2D47,0.6855692586340749,-0.6305037650439473,348.3134889072485,3.413333333333333
4DTM,-0.050005854462152236,0.1477549740185435,267.78552692668256,11.333333333333334
5EXH,-0.568743339223784,-0.48868920778750397,77.40616591323777,6.654320987654322
2O4A,-0.1351936959564753,-0.5554781439385207,85.96583493969325,3.2564102564102564
9OA4,-0.181424532954191,-0.6007989977575422,82.29119470814956,5.416666666666666
7RVA,-0.15899707257153847,-0.5888019199545246,90.88851883496523,3.4642857142857144
4J2D,0.14681292550052294,-0.110203360576164,260.24503274638084,16.022222222222222
2EUW,-0.382106710091514,-0.583557239617959,64.62406348576776,8.092592592592593
2HHV,0.658330413895815,0.7429735615970484,109.90366055766823,11.225806451612902
2WQ7,-0.09825260357495057,0.1995305360187543,97.84750658665575,9.595238095238097
1BGB,0.43374684727923535,0.446272072733558,182.70947188669618,8.348484848484848
1MNN,-0.031036756108017285,-0.7707772572865155,62.937663215897985,7.975
5IYE,-0.12498208031168606,-0.737961579520032,171.89343977688458,1.0987654320987654
8E5Y,-0.24608698158424136,-0.6817828698668623,78.38203256709359,5.666666666666666
4AH0,-0.017932419125721803,0.4500741578206836,78.80678728420415,4.950617283950616
5Z3N,0.7446076335322591,-0.7727550993950287,53.97681002891293,13.472222222222221
8C58,0.7459427052304789,0.43803757241526387,37.81810800479676,12.530864197530864
9KHW,-0.18412310742646648,0.2608254507481634,513.4089379075341,1.4603174603174602
1YO5,0.020578615521957385,0.4119103545484435,118.2675319416383,4.797619047619047
2EUV,-0.4459099089936626,-0.37750160554690615,64.32631611914097,6.522222222222222
8SP1,-0.3280671865406599,-0.7925016190672114,85.74835114147223,5.788617886178861
2AOR,0.10096957330333388,-0.029507365359273046,78.88699877773436,5.02051282051282
7D31,-0.36606481453753625,0.05048938585614898,220.6860419216315,2.015151515151515
3IAY,-0.20614918162108573,0.00046625681220596466,131.55066294957265,7.522522522522523
6FBG,0.9661541120344256,-0.7877650627795344,46.052754425543164,8.194444444444443
3IAG,-0.7798398420316179,-0.6750438489437719,107.9512031567258,4.027027027027025
8EDA,0.7506404381822586,0.284107467066688,84.23027167043125,3.1839080459770113
2C7P,0.5873990567356,-0.4048932895743919,40.47304457407785,7.753086419753087
3M9N,0.5331810579011637,-0.16796030411850424,25.22802545940316,6.2727272727272725
4U8C,0.8072944780825736,0.43416384375214695,85.42806555285725,1.4285714285714286
4ELU,0.8463670015478296,-0.5098009964294119,49.34508861781107,9.757575757575758
6FBH,0.8200036202866242,-0.3062794879820129,42.427333883998266,8.333333333333332
1KX5,0.3908918483513562,0.7282079605831645,29285.317404586174,33.40823970037453
1CDW,-0.48676345275356225,0.878468018252889,456.7019264615536,6.666666666666665
1PUY,-0.1410717908644738,0.2490936940366781,292.936745051416,4.809523809523808
5MVQ,0.6998435560690026,-0.7066315619778799,322.5068097756893,2.263888888888889
3NCI,0.040611537467281585,0.3725279426320107,252.20414872204555,22.91111111111111
7XH9,-0.14825765994904563,-0.23967711637158892,119.30288360965048,1.5238095238095237
2G1P,0.3662628352596797,0.017628370521229886,53.31225757332031,5.823529411764706
